Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,
,,,,,,,,,,,,,,,,,Definition,
52,timetable,ME 637,Manufacturing Automation,I - Karunakaran K.P.,  ,12,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,,
53,timetable,ME 643,Materials Processing and Simulation Laboratory,A - Asim Tewari,  ,LX,,, 0,,,,,,,,,
,,,,A - Date P.P.,,,,,,,,,,,,,,
,,,,A - R.K.Singh,,,,,,,,,,,,,,
,,,,A - Shyamprasad Karagadde,,Wed-LX-14:00:00-16:55:00,,,,,,,,,,,,
,,,,A - Sushil Mishra,,,,,,,,,,,,,,
,,,,I - Pande S.S.,,,,,,,,,,,,,,
54,timetable,ME 651,Fluid Dynamics,I - Avishek Ranjan,  ,14,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
55,timetable,ME 657,Thermal and Fluids Engg Laboratory,A - Amit Agrawal,  ,LX, S2,, 0,,,,,,,,,
,,,,A - Atul Srivastava,,,,,,,,,,,,,,
,,,,A - Shankar Krishnan,,,,,,,,,,,,,,
,,,,A - Sreedhara Sheshadri,,Wed-LX-14:00:00-16:55:00,,,,,,,,,,,,
,,,,I - Vedula R.P.,,,,,,,,,,,,,,
56,timetable,ME 663,Advanced Heat Transfer,I - Arunkumar Sridharan,  ,6,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
57,timetable,ME 673,Mathematical Methods in Engineering,I - Abhilash Chandy,  ,10,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,
58,timetable,ME 675,Theory of Plasticity,I - Krishna Jonnalagadda,  ,14,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
59,timetable,ME 676,Collaborative Engineering,I - Ravi B.,  ,9,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
60,timetable,ME 677,Laser Material Processing,I - Deepak Marla,  ,8,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,
61,timetable,ME 684,Airconditioning System Design,I - Rane Milind,  ,10,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,
62,timetable,ME 712,Computer Numerical Control and Programming.,I - Pande S.S.,  ,4,,, 40,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-4A-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Thu-4C-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Tue-4B-08:30:00-09:25:00,,,,,,,,,,,,
63,timetable,ME 714,Computer Integrated manufacturing,I - Soham Mujumdar,  ,3,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
64,timetable,ME 730,Ultra-Precision Machining,I - S. S. Joshi,  ,3,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
65,timetable,ME 747,Interfacial Transport Phenomena,I - Rajneesh Bhardwaj,  ,6,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
66,timetable,ME 748,Computer Aided Simulation of Machines,I - Guha Anirban,  ,3,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-3A-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Thu-3C-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Tue-3B-11:35:00-12:30:00,,,,,,,,,,,,
67,timetable,ME 750,Sheet Metal Engineering,I - Date P.P.,  ,1,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,
68,timetable,ME 754,Textile Machines Design & Automation,I - Guha Anirban,  ,12,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,,
69,timetable,ME 759,Nonlinear Finite Element Methods,I - Ram Kumar Singh,  ,8,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,
70,timetable,ME 761,Advanced Stereology and Microstructural Analysis,I - Asim Tewari,  ,14,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
71,timetable,ME 765,Micro-forming,I - Sushil Mishra,  ,8,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,
72,timetable,ME 766,High Performance Scientific Computing,I - Shivasubramanian Gopalakrishnan,  ,6,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
73,timetable,ME 769,Combustion in Automobile and Gas Turbine Engines,I - Sreedhara Sheshadri,  ,9,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
74,timetable,ME 772,Processing of Aerospace Materials-I,I - Amol A. Gokhale,  ,11,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,
75,timetable,ME 789,Computational Tools for Process Modeling,I - Shyamprasad Karagadde,  ,11,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,
76,timetable,ME 790,Materials modelling using atomistic first-principles calculations,I - Ankit Jain,  ,11,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,
77,timetable,ME 792,Communication Skills -II,I - Sandip Kumar Saha,  ,5,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-5B-09:30:00-10:55:00,,,,,,,,,,,,
,,,,,,Wed-5A-09:30:00-10:55:00,,,,,,,,,,,,
78,timetable,ME 793,"Multiscale Materials Informatics, Discovery and Design",I - Alankar Alankar,  ,8,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,
79,timetable,ME 794,Statistical Design of Experiments,A - S. S. Joshi,  ,10,,, 0,,,,,,,,,
,,,,I - Soham Mujumdar,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,
80,timetable,ME 795,Cellular Solids: Properties and Engineering Applications,A - Shankar Krishnan,  ,9,,, 0,,,,,,,,,
,,,,A - Sripriya Ramamoorthy,,,,,,,,,,,,,,
,,,,I - Amol A. Gokhale,,,,,,,,,,,,,,
