Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,,,,,,,
52,timetable,HS 837,Aesthetics and Criticism,I - Arun A. Iyer,  ,12,,, 0,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-12A-17:30:00-18:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-12B-17:30:00-18:55:00,,,,,,,,,,,,,,,,,,
53,timetable,HS 840,Paninian Grammar,I - Kulkarni A Malhar,  ,8,,, 0,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
54,timetable,HS 845,Indian Logic,I - K. Ramasubramanian,  ,10,,, 0,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
55,timetable,HS 859,Advanced Research Techniques in Psychology,I - Pooja Purang,  ,10,,, 0,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-10B-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-10A-14:00:00-15:25:00,,,,,,,,,,,,,,,,,,
56,timetable,HS 860,Archive and the Arts,I - Sharmistha Saha,  ,14,,, 0,,,,,,,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,,,,,,,
57,Instructor information not avilable,HSS802,Seminar,,,,,, 0,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
