Sr no.,Type,Course Code,Course Name,Instructor(s),Venue,Slot,Division,Biometric Attendance Enabled?,Registration Limit,Restrictions,,,,,,,Division,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
40,timetable,CS 741,Advanced Network Security and Cryptography,I - B. L. Menezes,  ,8,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-8A-14:00:00-15:25:00,,,,,,,,,,,,
,,,,,,Thu-8B-14:00:00-15:25:00,,,,,,,,,,,,
41,timetable,CS 748,Advances in Intelligent and Learning Agents,I - Shivaram Kalyanakrishnan,  ,13,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,,,,,,,
42,timetable,CS 752,System Dynamics: Modeling & Simulation for Development,I - Om P. Damani,  ,6,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-6B-11:05:00-12:30:00,,,,,,,,,,,,
,,,,,,Wed-6A-11:05:00-12:30:00,,,,,,,,,,,,
43,timetable,CS 753,Automatic Speech Recognition,I - Preethi Jyothi,  ,14,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
44,timetable,CS 754,Advanced Image Processing,I - Ajit V. Rajwade,  ,13,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-13A-19:00:00-20:25:00,,,,,,,,,,,,
,,,,,,Thu-13B-19:00:00-20:25:00,,,,,,,,,,,,
45,timetable,CS 759,Perfect Matchings: Algorithms and Complexity,I - Diwan A.A.,  ,2,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,,
46,timetable,CS 760,Topics in Computational Complexity,I - Mrinal Kumar,  ,14,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
47,timetable,CS 763,Computer Vision,I - Sharat Chandran,  ,11,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-11B-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Tue-11A-15:30:00-16:55:00,,,,,,,,,,,,
48,timetable,CS 764,Computer Vision Lab,I - Sharat Chandran,  ,L4,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-L4-14:00:00-16:55:00,,,,,,,,,,,,
49,timetable,CS 766,Analysis of Concurrent Programs?,A - Krishna Shankara Narayanan,  ,14,,, 0,,,,,,,,,
,,,,I - Ashutosh Kumar Gupta,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Fri-14B-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Tue-14A-17:30:00-18:55:00,,,,,,,,,,,,
50,timetable,CS 769,Optimization in Machine Learning,I - G.Ramakrishnan,  ,1,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-1A-08:30:00-09:25:00,,,,,,,,,,,,
,,,,,,Thu-1C-10:35:00-11:30:00,,,,,,,,,,,,
,,,,,,Tue-1B-09:30:00-10:25:00,,,,,,,,,,,,
51,timetable,CS 772,Deep Learning for Natural Language Processing,I - Bhattacharya P.,  ,2,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-2A-09:30:00-10:25:00,,,,,,,,,,,,
,,,,,,Thu-2C-11:35:00-12:30:00,,,,,,,,,,,,
,,,,,,Tue-2B-10:35:00-11:30:00,,,,,,,,,,,,
52,timetable,CS 777,M.S. R&D 1,I - Rohit Gurjar,  ,,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
53,timetable,CS 778,M.S. R&D 2,I - Rohit Gurjar,  ,,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
54,timetable,CS 779,Extremal Combinatorics,I - Vishwanathan Sundar,  ,9,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Mon-9A-15:30:00-16:55:00,,,,,,,,,,,,
,,,,,,Thu-9B-15:30:00-16:55:00,,,,,,,,,,,,
55,timetable,CS 792,Communication Skills -II,I - Parag Chaudhuri,  ,X,,, 0,,,,,,,,,
,,,,,FullSemester,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,Wed-XC-17:30:00-18:55:00,,,,,,,,,,,,
,,,,,,Wed-XD-19:00:00-20:25:00,,,,,,,,,,,,
56,Instructor information not avilable,CS 797,I Stage Project,,,,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
57,Instructor information not avilable,CS 798,II Stage Project,,,,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
58,Instructor information not avilable,CSS801,Seminar,,,,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
59,Instructor information not avilable,CSS802,Seminar,,,,,, 0,,,,,,,,,
,,,,,,,,,,,,,,,,,,
