,Course Code,Course Name,Dept,Division,Division.1,Instructor(s),Registration Limit,Restrictions,Slot,Slot_code,Time,Type,Venue,Yxx ka Y
174,CS 753,Automatic Speech Recognition,CS,,,I - Preethi Jyothi, 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,7
175,CS 754,Advanced Image Processing,CS,,,I - Ajit V. Rajwade, 0,,13 Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,13, Mon-13A-19:00:00-20:25:00 Thu-13B-19:00:00-20:25:00,timetable,  ,7
176,CS 759,Perfect Matchings: Algorithms and Complexity,CS,,,I - Diwan A.A., 0,,3 Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,3,Mon-3A-10:35:00-11:30:00 Thu-3C-08:30:00-09:25:00 Tue-3B-11:35:00-12:30:00,timetable,  ,7
177,CS 760,Topics in Computational Complexity,CS,,,I - Mrinal Kumar, 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,7
178,CS 763,Computer Vision,CS,,,I - Sharat Chandran, 0,,8 Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,8,Mon-8A-14:00:00-15:25:00 Thu-8B-14:00:00-15:25:00,timetable,  ,7
179,CS 764,Computer Vision Lab,CS,,,I - Sharat Chandran, 0,,L4 Fri-L4-14:00:00-16:55:00,L4, Fri-L4-14:00:00-16:55:00,timetable,  ,7
180,CS 766,Analysis of Concurrent Programs?,CS,,,A - Krishna Shankara Naraya I - Ashutosh Kumar Gupta, 0,,14 Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,14, Fri-14B-17:30:00-18:55:00 Tue-14A-17:30:00-18:55:00,timetable,  ,7
181,CS 769,Optimization in Machine Learning,CS,,,I - G.Ramakrish, 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,7
182,CS 772,Deep Learning for Natural Language Processing,CS,,,I - Bhattacharya P., 0,,2 Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,2,Mon-2A-09:30:00-10:25:00 Thu-2C-11:35:00-12:30:00 Tue-2B-10:35:00-11:30:00,timetable,  ,7
183,CS 779,Extremal Combinatorics,CS,,,I - Vishwanathan Sundar, 0,,9 Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,9,Mon-9A-15:30:00-16:55:00 Thu-9B-15:30:00-16:55:00,timetable,  ,7
184,CS 792,Communication Skills -II,CS,,,I - Parag Chaudhuri, 0,,X Wed-XC-17:30:00-18:55:00,0,Wed-XC-17:30:00-18:55:00,timetable,  ,7
185,DE 202,2D Visual Studies II,DE,,,A - Shilpa Ranade I - Arun Mascarenhas, 0, View,,0,,timetable,  ,2
186,DE 204,3D Form Studies II,DE,,,I - Dinesh Korjan, 0, View,,0,,timetable,  ,2
187,DE 304,Communication Design,DE,,,I - Prasad Bokil, 0, View,,0,,timetable,  ,3
188,DE 306,Film-Video Design,DE,,,I - Sudesh Balan, 0, View,,0,,timetable,  ,3
189,DE 308,Product Design II,DE,,,I - Bapat V.P., 0, View,,0,,timetable,  ,3
190,DE 310,Interaction Design,DE,,,I - Joshi Anirudha, 0, View,,0,,timetable,  ,3
191,DE 312,Transportation Design,DE,,,I - Sugandh Malhotra, 0,,,0,,timetable,  ,3
192,DE 313,3D Modeling and Prototyping,DE,,,I - Shilpa Ranade, 0,,,0,,timetable,  ,3
193,DE 316,Product Ergonomics,DE,,,I - Swati Pal, 0,,,0,,timetable,  ,3
194,DE 403,Studio Project I,DE,,,I - Sudesh Balan, 10,,,0,,timetable,  ,4
195,DE 403,Studio Project I,DE, M,,I - Sudesh Balan, 0,,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,0,i-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,4
196,DE 403,Studio Project I,DE, M,,I - Sudesh Balan, 10,,5 Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,5,Fri-5B-09:30:00-10:55:00 Wed-5A-09:30:00-10:55:00,timetable,  ,4
197,DE 405,Studio Project II,DE,,,I - Sudesh Balan, 10,,,0,,timetable,  ,4
